"","","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25"
"31",31,1.89070897685925,-0.177986189526561,2.41508708993602,-0.125310098083861,0.776519757741768,-0.0651663102470595,-0.226598482434337,0.97533805943361,0.723567323139399,-1.59750248882301,0.546088872850561,-0.816766232582066,-1.73973998696062,-2.02494275301258,-0.987605498754157,0.561044128397653,-2.14635630457451,0.209371471511046,0.0942829881133709,-0.575860554428511,0.549593664563155,0.649716659501637,1.43315816378101,0.689542321055982,0.138335501743042
"32",32,0.237383947349367,0.263511850453987,-0.241291773021054,0.107903278359345,-1.51586398127843,1.22252241350839,1.94007074685297,0.0914865317386916,1.21610315094286,1.18294675474305,-0.0712932412364442,1.88361253752454,-1.62513612004644,0.534647489458693,0.796046161597473,-1.14951927323037,0.949971206457971,0.761261297974095,0.873687445669619,-1.2771776390302,0.424473971079152,-1.18111840413088,-0.440858678080103,-0.275207456076187,-0.143532339405199
"33",33,1.55270464799194,-0.545823239193469,1.51878400289274,-0.129320497684127,0.742884392363541,1.50037325560509,0.9357786917899,-0.588857892960217,0.812733533940333,-0.934588368969748,-1.15326046626801,0.54782511425226,-0.22844174534118,-0.927610170289445,-0.213416243679282,-0.504625630112559,-0.670738236954786,-1.25134868267063,0.559990340239548,-1.80248950409346,-0.0359128442950716,0.0261273462839053,1.25760230257176,0.134868357250804,-0.153855081769804
"34",34,1.30391343085624,0.533229634070899,0.618770112745532,-0.162699001811775,0.509086528485783,0.0644092434137728,2.32393659811769,-0.220732288090079,-0.160328396157859,-0.592222650076447,1.50651844281094,0.406208625797811,-1.92172489702929,-0.532018364854614,-1.36308039178763,-1.42858217683485,0.196071639214833,0.679767060520556,-0.363285546099513,0.302992749547524,0.330575223256399,0.584975573640176,-0.619830553896906,0.787826527780563,-0.434760911724174
"35",35,1.82808163903255,0.0792195871589664,0.897813977837267,-0.933208970026177,1.18450750626061,-1.55869817355154,-0.67897459443092,1.24612285629588,1.0532122896746,0.105179544016542,0.208786407042208,0.027266505581546,-0.10417173376696,0.199977459533332,0.429772361451333,-0.641184850537095,-1.0657215804473,0.153737845487282,0.0111263512877194,0.222484475444901,-1.22711253074087,1.04800328966347,0.302663191122176,-0.19966817897889,0.299090925502995
"36",36,-0.995239784793178,-0.56339295152897,0.464516403290957,0.0988045038362055,0.490815714931929,0.874315379228588,-0.0647736895937017,-1.83299541149814,0.638355075426205,0.67241959673847,0.114113103301784,-0.66296781359638,2.22033064408756,0.541391256394408,-0.772368702269983,-0.591901188769294,-0.34771713338469,1.94534958301361,-0.654825673904072,-0.777239220090484,-0.682214596005743,1.70018902338395,-0.469776841471461,-0.362954297355861,0.73085886298439
"37",37,0.350517227367394,0.569305668161739,-1.34323047198241,-1.49198564464348,0.0236071310071831,1.1652719447186,0.932253953396408,-0.98903060014606,0.258921124425424,2.32299740947471,0.139028970611549,-2.65611085482227,-1.02820591226243,0.344197146817134,-1.58780428004726,-0.511656082086463,0.615399304888543,0.766509015160828,0.200102528925651,0.645289475562571,-0.415970310134242,0.435409467275945,-1.37244239856891,-0.131062353955697,-0.119584181245924
"38",38,2.21101433122098,0.0628125101233681,0.348373241674362,-0.729535198564136,0.373910996517721,-0.11628584760028,1.03886102064147,0.592758253371054,-1.02713405177115,-1.1377200845139,1.02559509468055,-0.0347579306634195,-0.991919646308818,-1.03183307049329,-0.00778902257571157,0.349627190695373,0.0272301808986638,-0.66594172013932,2.56211926375382,1.0260884753561,0.0513838014647596,-0.115949154700922,0.0607699717112801,1.09841659407612,-0.87108027531244
"39",39,-0.000432607697732795,-0.322172776822189,1.40985704140405,-2.80951148055063,-1.28976864948343,-0.101999136864413,-0.802225481576619,-1.82550321718864,1.09129058738041,0.553798874620733,-0.216322403428244,-0.0146302494026844,1.29575401391919,0.467152736297846,0.0857625376963611,0.133642244975985,-1.76775883149035,-1.02038170178016,1.45667935658695,0.546821689136746,-0.234425350387346,0.591424216065936,1.4940068464175,0.806602809322207,-0.118229875929171
"40",40,-0.0610637653931089,1.59338506619299,-0.749801980301662,0.37785482065658,-0.725729442842115,-0.172851803190821,-0.967595711239046,-2.1458932115608,1.69944924034741,0.962143196886079,0.801162200386355,-0.44583838431611,-0.729065839400304,0.166361096918542,1.88715541136678,0.501614074213301,-0.309101450079467,1.46730514355856,-1.08644481412538,-0.0184382095138801,1.20842980210825,0.0809656490565591,0.773265613033502,0.431006600889734,-0.295355098904286
"41",41,0.276622971844039,1.86609965069805,1.26000067028151,-1.0610601403457,-0.749696146485459,0.737647373153354,-0.060159366956488,1.27788016733003,1.22366323844112,-1.36956589829248,0.154678069831774,-0.782550996637096,-0.671527997741752,1.19787592299924,-1.02890544900528,-0.655530997258058,-1.02075550563524,0.868321429680506,0.723936056745023,1.21550865729936,1.05842946063363,-0.746401752953346,0.328213615460178,0.208336334324956,-0.204190125147984
"42",42,1.5016161902189,1.73910142273144,-0.360422750560583,0.302574593610189,0.0403044419435411,0.110844628456543,1.61201827049867,2.15189745561732,1.02878248363288,-3.24616773301843,1.22534451249701,0.0257821854687341,-0.484199171799747,-0.583691958539657,-0.468380662638269,-0.248862561331926,0.578991941330837,-0.438153611186133,-0.0396658392757798,-0.284951300218377,-0.177136035602062,-0.54051988942472,0.0646020253379668,0.369157424977945,-0.5926759677161
"43",43,1.72678781893789,-1.29343434605591,0.511412633950241,-0.00035084672935607,-2.41828411519489,-0.460717323320914,0.453518464801488,-0.311318260956612,-1.44703381154135,2.06638188502402,2.00821938678083,0.420909385420126,1.46864521281938,0.478193229622305,0.709156388946094,-1.27748699382557,-0.115105696247254,1.24440786323047,0.94912869077873,1.58441351736585,0.580288606038374,0.292722870248892,-0.00928329673966247,0.336762336630288,1.32496619496126
"44",44,0.876533380274202,0.356261623613321,0.707194018808218,1.563889052858,-2.21589172004655,-0.272313802538098,1.94083872493409,-0.699892781355127,-1.92479682564648,-1.62841595849694,0.136975009122883,0.409484709967005,0.618369210356291,1.18681726141954,-1.04880578831276,1.46355043970138,0.0966896893848072,-0.563240734887001,-0.0116608140176979,-0.738784677640197,0.498093108512367,-0.232312330047267,1.05014951420038,0.515436842281953,0.263044796069263
"45",45,-1.5449937450368,-1.34630714210519,-1.83329684577735,0.480919252738431,-0.864555994980341,-0.0521236461772781,0.744267839480635,-1.89222716836475,-0.78939079981842,1.03460479553896,0.757859180033213,-0.824967477093894,-0.963386712613593,1.3054359979495,0.181973741579948,0.43944359537708,0.923954290807933,-0.812111112751078,1.90862164325466,-0.309637579601494,-1.25544549048053,0.215431994820117,-0.412919311279993,1.02765986596401,-0.106049798450389
"46",46,2.27423543837193,0.266958437016109,0.688133603049872,-0.533085768440125,0.949251166241293,-0.891366094341021,0.0874506928913965,1.05207780542194,1.40608056725642,1.1882424685915,-0.19233412170711,0.664151776710488,-1.33551815297241,0.129925988443232,0.653580603357325,-1.28026389205472,-0.139639522102595,-0.288147089085822,-0.0396568058951843,-0.0278406928841942,0.804419457320668,0.597884695256515,-0.288783068521487,-0.517337801539145,-0.0497035254638522
"47",47,0.358264554652484,0.998416709865074,-0.46295985665929,0.342646806135525,-1.56426299522506,-0.878108333300143,-1.70108657129882,-0.714492582772503,-0.165700727294147,-1.14518701533441,1.62811337156133,0.714565077684923,0.342626980476983,1.20373306530849,-2.06138108972929,0.406973401632901,-0.253722366290711,-1.34642401312453,0.223963143533139,0.656605379350025,0.654094369381358,-0.398655848473724,-0.9381246186765,-0.0540287130619865,-1.40782135182226
"48",48,0.219810881347613,2.26269691900574,-2.61671831042698,-0.155038021645382,-1.33849103861131,-1.14957324242516,1.23608371047488,-2.42425712205661,0.653447156050734,0.125437622276964,0.830869870620184,-1.22580946060154,-0.59702676765565,-0.153359744234495,2.10910632740932,-1.08367679567752,-0.31176992669087,-0.455760617863171,-1.41878444534578,0.207110738303488,-0.240185562183709,0.815107323786218,-0.713820027930033,0.461812259070038,0.3599749929991
"49",49,1.86505398576301,-0.306801773878548,-0.0830528372805192,-0.662713943634246,0.0813002528740902,-0.445285689969566,-0.352236367202196,-0.177527613240522,0.92972612426327,0.579259570740443,-0.443743553436247,0.228869268166659,-0.353082744052119,-1.02908362733293,-1.0053683392616,1.54499650233664,-0.0434371906195321,-1.21081225899287,-0.278645186348983,-0.731330323904657,-1.67467603982075,0.355825105958205,0.816592623932561,-0.889811630160167,0.311832226214665
"50",50,0.455529208567605,1.77099406939136,-0.517148388181957,-1.51095198266647,0.950229303624299,2.24335763191685,-2.04909596018713,0.98607592207651,-0.302609091371425,-0.43366721968102,-3.31318246644406,-0.756707511028902,-0.685453569465324,-0.120775339649868,-0.354207836969677,-0.855558764886933,-0.7885343810164,-0.643688898418487,-1.09499922400339,-0.481335333491966,0.882332409961962,0.449557293967821,0.147164614503359,-0.644293554582909,0.501137991986054
"51",51,0.395864875001143,-0.511200838363634,-1.60035317534093,0.278339469536501,-0.562495399575802,0.460587543634436,-1.38999308438408,0.4018987718705,-1.56942071051733,0.649290957697576,0.851045682449731,0.873943160344943,0.614135128302021,1.57934340508491,-0.348222697330504,-0.103469583013226,-0.259607136611438,-1.18030330975017,0.600566395623044,-0.576906960882587,-0.137563355526604,0.11056058753313,0.0583214032744735,1.3766514906587,-0.128212262392204
"52",52,-0.63476486158592,0.287514931689673,-0.680055131663652,3.6137940802577,2.40680813744437,-1.09274781791279,-1.25400083045678,-0.658631631121528,-0.412573298481164,0.393696384232333,-0.498382121740951,-0.270942412750781,1.37993749819326,-0.686279733524253,0.961858128026954,0.0102763827928397,0.181587497141262,1.02348618648676,-0.312914421453149,1.76057520480129,0.673049554506033,-1.26298254703083,0.251972820733194,1.28078294107051,0.277486929461983
"53",53,0.983290654569505,-0.0296171366528646,0.073171263518163,1.02234117405348,0.494853882001314,-1.14194144781425,0.212843128539316,-1.13057499220679,0.0512584894469626,0.319467310243213,-0.249367129354408,-0.783566240035889,0.274794307595945,0.124276166469829,-1.20590860119336,-1.41779431723558,-0.215603372860132,-1.21903542159186,-0.588368000274549,2.03966336701103,-0.177487026204411,2.39174801919012,0.88905419317496,0.393394794207123,-1.63856293104204
"54",54,1.78119035077289,1.0218282151848,3.21483697071619,-2.21813863780668,1.20356674646675,-0.412468982381442,0.890344905525436,1.32544351107952,-2.56996364620436,-0.0760602877008947,-0.68926200896796,-0.973207072777311,-0.567610026673996,-0.676891564634637,-1.29705819407075,-0.485150006718426,0.575307063385708,-0.140584593215296,1.1361158698363,0.32835770773805,0.237317332929945,-0.725904676904327,-0.950108856830412,-0.297967311156977,0.771779731014805
"55",55,-0.200842999131167,-0.525328225479701,1.92831476535552,-1.61870877427898,-0.568833283705476,0.58332348350403,-0.634521232392051,-1.64581479125233,0.602399088641677,0.686601998629383,0.265809827412686,-1.89981965568622,-1.52817813387683,0.387606692876901,-0.542935941012322,-0.309496029993658,-0.156290838868644,0.355503498434474,-0.0464997071305861,-0.509361567831176,0.269834690892496,-0.332586516405221,0.839392138303844,0.0890527839891045,0.572118199506082
"56",56,-0.895089617414999,1.51460043313961,2.00867470025633,1.06117360907394,0.247406809635254,-0.540266439106525,-0.523892451568124,0.0387243938234232,-1.59242125871326,0.354664267160898,-2.06166910238636,-0.272513138392151,-0.285249770168982,1.53259766698958,0.436811826980889,-0.519789337081259,-0.506457254793892,-0.795724230302582,-0.135135599339168,0.335016243517357,-1.3559730520957,-0.179415522580652,0.0359170052160307,0.0084163651065563,0.138501791520499
"57",57,-1.26427376906476,1.12106546502941,1.0367393948687,1.14933705665698,-1.03488749317672,0.675862318396149,0.706154220459582,-0.670188737513442,-0.87672562217109,0.690177800708085,-0.519841824973711,-0.514691842955125,-0.18707615263107,2.07829343830613,-0.160800908308935,-2.05797017071378,-1.47459651665204,-0.029715845172507,-1.00350885589495,-0.0359768830660451,-1.58079875160425,-0.26815204330415,1.97331269540257,-0.702817170653679,0.47037963071407
"58",58,-1.00617046463585,2.29826458640781,1.77534768652184,-0.163171129279492,1.15582893812694,1.13230337812682,-0.397122778981162,-1.18027507199985,-1.07978187031684,0.55607284917835,1.57466732337011,-0.656248754784342,0.271430421343412,0.267083522846504,1.07667678697145,-0.869246458230651,-0.855489160500493,-0.0321593237972168,0.845449827983304,-0.91177680927398,1.94124426117249,1.28359759524986,0.270059531594839,-1.32371448437985,0.336602022453995
"59",59,1.63025387331492,0.902368205420571,0.290541569618431,0.86686054583054,1.38609353329986,1.08393231237852,-0.638715794738187,1.27860404021242,-0.4744340850466,-0.40784999303177,-0.618036434211691,0.279940068779011,1.16031388725983,-2.14566414227728,-1.09439452871131,-0.294883927655317,-0.192508906119377,2.06907786481607,-0.364391392466574,0.513852773125614,-0.819412909782528,1.17405941875978,-0.284732264882299,0.383035621536809,-0.392769051327203
"60",60,0.768477543415461,1.50750173525411,-1.0665810190673,-0.905266469901234,0.0495779415590929,1.59148461338606,-1.36367005945084,-0.330702826658003,1.14031119631249,-0.314959860957172,1.71549144685126,-0.402132300902741,0.816752802675708,-0.452715361507993,0.499656730512065,-0.428133522592248,0.519964614948555,-0.365206260331467,-0.0355789812374536,1.01589788575109,-1.68058624597361,1.08789859196617,-0.271485192280915,0.0611643818208203,0.0704690086168397
"61",61,0.164922718072111,1.63400176666824,0.503737456838769,-0.453095293381867,-0.20653243671964,0.171665261249332,-1.81310242407025,0.997578631943865,1.36548891427794,-0.644628075459574,-1.1056169967873,0.215528586511817,0.131848842058304,-0.500301995740207,0.695728926702475,-0.340415900741975,1.24864256241228,-0.339537794494102,0.768100993392356,-0.44793163791258,1.12232464354242,0.446377469036466,0.300373729376732,-0.696892374065966,-0.0206060159711952
